Title,Year,Genre,Director,Cast,Rating,Description
Happy-Go-Lucky,2008,Comedy Drama Romance,Mike Leigh, Sally Hawkins Alexis Zegerman Samuel Roukin Elliot Cowan,7,A look at a few chapters in the life of Poppy a cheery colorful North London schoolteacher whose optimism tends to exasperate those around her.
Neulovimye mstiteli,1967,Action Adventure Western,Edmond Keosayan, Vasiliy Vasilev Viktor Kosykh Valentina Kurdyukova Mikhail Metyolkin,7.4,Teenagers take revenge on cruel chieftains during the civil war. Soviet blockbuster in the best traditions of the western
Salomé,1976,Documentary,Teo Hernandez, Monica Carpiaux Michel Nedjar Carlos Palacio Mona Thomas,7.1,A personal interpretation of Oscar Wilde Salome from three basic elements: the light the color and the projection speed.
Tol'able David,1921,Drama,Henry King, Richard Barthelmess Gladys Hulette Walter P. Lewis Ernest Torrence,7.1,When three thuggish men are responsible for the death of his father and the crippling of his brother young David must choose between supporting his family or risking his life and exacting vengeance.
Anne of the Indies,1951,Action Adventure Drama,Jacques Tourneur, Jean Peters Louis Jourdan Debra Paget Herbert Marshall,6.6,In order to recover his ship impounded by the British former pirate captain LaRochelle agrees to spy on the notorious Caribbean Sea pirates Blackbeard and Anne Providence.
Good Vibrations,2012,Biography Drama Music,Lisa Barros D'Sa, Glenn Leyburn Cathal Maguire Peter Kelly Charlie Berkeley Jack Carberry,7.2,A chronicle of Terri Hooley's life a record-store owner instrumental in developing Belfast's punk-rock scene.
Affliction,1997,Drama Mystery Thriller,Paul Schrader, Nick Nolte Sissy Spacek James Coburn Brigid Tierney,6.9,A deeply troubled small-town cop investigates a suspicious hunting death while other events jeopardize his sanity.
Pale Rider,1985,Drama Western,Clint Eastwood Clint Eastwood, Clint Eastwood Michael Moriarty Carrie Snodgress Sydney Penny,7.3,A mysterious preacher (Clint Eastwood) protects a humble prospector village from a greedy mining company trying to encroach on their land.
The Intouchables,2011,Biography Comedy Drama,Olivier Nakache, Éric Toledano François Cluzet Omar Sy Anne Le Ny Audrey Fleurot,8.5,After he becomes a quadriplegic from a paragliding accident an aristocrat hires a young man from the projects to be his caregiver.
Guardians of the Galaxy,2014,Action Adventure Comedy,James Gunn, Chris Pratt Vin Diesel Bradley Cooper Zoe Saldana,8,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
Three Landscapes,2013,,Peter B. Hutton,,7.6,Avant-garde master Peter Hutton observes human movement across three distinct landscapes: Detroit along the Hudson River Valley and in the Dallol Depression in Ethiopia.
Somewhere in the Night,1946,Crime Drama Film-Noir,Joseph L. Mankiewicz, John Hodiak Nancy Guild Lloyd Nolan Richard Conte,7.1,George Taylor returns from WWII with amnesia. Back home in Los Angeles while trying to track down his old identity he stumbles onto a 3-year old murder case and a hunt for a missing $2 million.
Donald in Mathmagic Land,1959,Animation Short Family,Les Clark, Joshua Meador Wolfgang Reitherman Hamilton Luske Norman Ferguson Clyde Geronimi Jack Hannah Wilfred Jackson Ben Sharpsteen Jane Fowler Paul Frees Clarence Nash Roman Yanez,7.8,Donald's goes on an adventure in which it is explained how mathematics can be useful in real life. Through this journey it is shown how numbers are more than graphs and charts they are geometry music and magical living things.
Poto and Cabengo,1979,Documentary,See full summary Jean-Pierre Gorin, Jean-Pierre Gorin,7.1,Identical young twin girls in the USA have invented their own shared language. Scientists are wanting to study the language but social workers are trying to get the twins to leave their ... See full summary »
Skrivánci na niti,1969,Comedy Drama Romance,Jirí Menzel, Rudolf Hrusínský Vlastimil Brodský Václav Neckár Jitka Zelenohorská,7.4,Set in the late 1940s the film concerns the treatment of suspect "bourgeois elements" a professor a saxophonist and a milkman who are put to work in a junkyard for rehabilitation.
Big Business,1929,Short Comedy Family,James W. Horne, Leo McCarey Stan Laurel Oliver Hardy James Finlayson Charlie Hall,7.6,Ollie and Stanley are two Christmas Tree sales reps who get into one of their usual mutual-destruction fights with a disgruntled homeowner.
Akai hashi no shita no nurui mizu,2001,Comedy Drama Fantasy,Shôhei Imamura, Kôji Yakusho Misa Shimizu Mitsuko Baishô Mansaku Fuwa,6.8,A down-and-out businessman travels to a seaside town where he meets a woman with unusual sexual powers.
Our Vinyl Weighs a Ton: This Is Stones Throw Records,2013,Documentary Biography Music,See full summary Jeff Broadway, Peanut Butter Wolf Talib Kweli A-Trak Marvin Jones III,7.5,Our Vinyl Weighs a Ton is a feature-length documentary about avant-garde Los Angeles-based record label Stones Throw Records. The film weaves together rare concert footage never-before-see... See full summary »
A Quiet Passion,2016,Biography Drama,Terence Davies, Emma Bell Sara Vertongen Rose Williams Benjamin Wainwright,6.5,The story of American poet Emily Dickinson from her early days as a young schoolgirl to her later years as a reclusive unrecognized artist.
Lagaan: Once Upon a Time in India,2001,Drama Musical Sport,Ashutosh Gowariker, Aamir Khan Raghuvir Yadav Gracy Singh Rachel Shelley,8.1,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.
Seijû gakuen,1974,Drama Thriller,Norifumi Suzuki, Yumi Takigawa Emiko Yamauchi Yayoi Watanabe Ryouko Ima,6.6,In order to investigate her mother's strange death a woman enters a sacred convent run by hypocritical perverse nuns.
Utamaro o meguru gonin no onna,1946,Drama,Kenji Mizoguchi, Minosuke Bandô Kinuyo Tanaka Kôtarô Bandô Hiroko Kawasaki,7,Utamaro is a great artist who lives to create portraits of beautiful women using the brothels of Tokyo to provide his models.
Museum Hours,2012,Drama,Jem Cohen, Mary Margaret O'Hara Bobby Sommer Ela Piplits Marcus O'Hara,6.9,When a Vienna museum guard befriends an enigmatic visitor the grand Kunsthistorisches Art Museum becomes a mysterious crossroads that sparks explorations of their lives the city and the ways in which works of art reflect and shape the world.
La coda dello scorpione,1971,Mystery Thriller,Sergio Martino, George Hilton Anita Strindberg Alberto de Mendoza Janine Reynaud,6.7,An insurance investigator tries to determine any irregularities in the policy of a heiress' dead husband but soon finds himself suspected of her murder.
Red Riding: The Year of Our Lord 1983,2009,Crime Drama History,Anand Tucker, David Morrissey Lisa Howard Chris Walker Shaun Dooley,7.2,When another child goes missing washed-up solicitor John Piggott unwittingly provides a catalyst for Detective Chief Superindent Maurice Jobson to start to right some wrongs.
Accident,1967,Drama,Joseph Losey, Dirk Bogarde Stanley Baker Jacqueline Sassard Michael York,6.8,At Oxford Austrian student Anna von Graz (Jacqueline Sassard) is dating fellow student William (Michael York) whom she plans to marry but she ends up sleeping with two unhappily married Oxford professors instead.
Homicide,1991,Crime Mystery Thriller,David Mamet, Joe Mantegna William H. Macy Vincent Guastaferro J.J. Johnston,6.9,A Jewish homicide detective investigates a seemingly minor murder and falls in with a Zionist group as a result.
Citizen X,1995,Biography Crime Drama,Chris Gerolmo, Stephen Rea Donald Sutherland Max von Sydow Jeffrey DeMunn,7.5,During the 1980s Soviet authorities hunt for a serial killer who picks his victims in railway stations and commuter trains and lures them into the woods.
La frusta e il corpo,1963,Horror Romance,Mario Bava, Daliah Lavi Christopher Lee Tony Kendall Evelyn Stewart,6.7,The ghost of a sadistic nobleman attempts to rekindle his romance with his terrorized masochistic former lover who is unwillingly betrothed to his brother.
Cobain: Montage of Heck,2015,Documentary Animation Biography,Kurt Cobain Brett Morgen,Kurt Cobain Nirvana Brett Morgen Kurt Cobain Wendy O'Connor Don Cobain Jenny Cobain,7.5,An authorized documentary on the late musician Kurt Cobain from his early days in Aberdeen Washington to his success and downfall with the grunge band Nirvana.
A Muppet Family Christmas,1987,Comedy Family Musical,Peter Harris, Eric Till Frank Oz Dave Goelz Richard Hunt Kathryn Mullen,8.1,Kermit and his friends spend Christmas staging a surprise visit to Fozzie Bear's mother's farm.
The Boys,1998,Crime Drama,See full summary Rowan Woods, David Wenham Toni Collette Lynette Curran John Polson,6.9,Brett Sprague is a violent and psychopathic man who is released on parole after serving a sentence for assault. As he returns to his family house and we watch him and his brothers Stevie ... See full summary »
Kunstneren og tyven,2020,Documentary,Benjamin Ree, Karl Bertil-Nordland Barbora Kysilkova Øystein Stene,7.5,An artist befriends the thief who stole her paintings. She becomes his closest ally when he is severely hurt in a car crash and needs full time care even if her paintings are not found. But then the tables turn.
Oh! Uomo,2004,Documentary War,Yervant Gianikian, Angela Ricci Lucchi Benito Mussolini,7.2,From the emblem of totalitarianism to individual physical suffering this is a representation of man's rampaging violence to draw up an anatomical inventory of the damaged body and examine the consequences of the conflict on children.
Bariera,1966,Drama Comedy,Jerzy Skolimowski, Joanna Szczerbic Jan Nowicki Tadeusz Lomnicki Maria Malicka,6.8,A rebellious student wants to get total independence and overcome all the barriers in his life: of money age status cults and conventions. However he meets a girl with completely different ideals.
Trailer Park Boys,1999,Comedy,Mike Clattenburg, John Paul Tremblay Robb Wells Lucy Decoutere Jeanna Harrison,7.9,Two petty felons have a documentary made about their life in a trailer park.
AlphaGo,2017,Documentary Sport,Greg Kohs, Ioannis Antonoglou Lucas Baker Nick Bostrom Yoo Changhyuk,7.8,Google's DeepMind has developed a program for playing the 3000 year old game Go using AI. They test AlphaGo on the European champion then March 9-15 2016 on the top player Lee Sedol in a best of 5 tournament in Seoul.
Gui da gui,1980,Action Comedy Fantasy,Sammo Kam-Bo Hung,  Fat Chung Lung Chan Ha Huang,7,A rickshaw driver's wife and his rich client are secret lovers and they decide to get rid of him without being implicated so they hire a powerful sorcerer to kill him but the sorcerer's colleague intervenes to protect him.
Une corde un Colt...,1969,Western,Robert Hossein, Michèle Mercier  Guido Lollobrigida Daniele Vargas,6.7,A melancholic gunfighter is drawn into a vengeful and tragic kidnapping plot by his widowed ex-lover.
Il bell'Antonio,1960,Comedy Drama,Mauro Bolognini, Marcello Mastroianni Claudia Cardinale Pierre Brasseur Rina Morelli,7.3,A newly wedded and extremely handsome young bourgeois Antonio faces a scandal in a city of Sicily in 1950's when the public and her family hears that his beautiful wife is still "untouched" after their 12-month long marriage.
Méditerranée,1963,Documentary Short,Jean-Daniel Pollet,,5.9,A short film documenting the seas and shores of the Mediterranean Sea.
The Indian Runner,1991,Drama,Sean Penn, David Morse Viggo Mortensen Valeria Golino Patricia Arquette,6.9,A Vietnam vet comes home to his small town and finds himself in conflict with rules that his brother has vowed to uphold.
Cyrano de Bergerac,1990,Comedy Drama History,Jean-Paul Rappeneau, Gérard Depardieu Anne Brochet Vincent Perez Jacques Weber,7.5,Famed swordsman and poet Cyrano de Bergerac is in love with his cousin Roxane. He has never expressed his love for her as he his large nose undermines his self-confidence. Then he finds a way to express his love to her indirectly.
Bab'Aziz,2005,Drama,Nacer Khemir, Parviz Shahinkhou Maryam Hamid Golshifteh Farahani Mohamed Grayaâ,7.5,The story of a blind dervish Bab'Aziz and his spirited granddaughter Ishtar together they wander the desert in search of a great reunion of dervishes that takes place just once every thirty years.
Nazi Concentration Camps,1945,Documentary History,George Stevens, Dwight D. Eisenhower Omar N. Bradley George S. Patton Hayden Sears,8.3,Produced and presented as evidence at the Nuremberg war crimes trial of Hermann Göring and twenty other Nazi leaders.
Gervaise,1956,Drama,René Clément, Maria Schell François Périer Jany Holt Mathilde Casadesus,7.4,A poor laundrywoman tries to cope with a depressing burden of society.
Lalka,1968,Drama Romance,See full summary Wojciech Has, Mariusz Dmochowski Beata Tyszkiewicz Tadeusz Fijewski Jadwiga Gall,6.9,Set in the 19th century Warsaw. The indolence of aristocrats who secure with their pensions are too lazy to undertake new business risks frustrates Wokulski. His ability to make money is... See full summary »
Kobieta samotna,1987,Drama,See full summary Agnieszka Holland, Maria Chwalibóg Boguslaw Linda Pawel Witczak Danuta Balicka,7.1,A story of a middle-aged woman Irena living alone on the outskirts of Wroclaw with her 8-year old son. They live in a drab apartment. She is a mail carrier and her son is her only pride ... See full summary »
Un uomo a metà,1966,Drama,See full summary Vittorio De Seta, Jacques Perrin Lea Padovani Ilaria Occhini Gianni Garko,7.2,Michele a young intellectual enters an existential crisis when without realizing it his conception of life comes into conflict with collective morality. The result is a serious neurosis... See full summary »
Queen: Days of Our Lives,2011,Documentary Music,Matt O'Casey, Brian May Roger Taylor Chris Smith Freddie Mercury,8.4,The life and times of the rock band Queen - told in two parts covering in part one the 1970's and in part two the 1980's and beyond.
Resurrect Dead: The Mystery of the Toynbee Tiles,2011,Documentary,Jon Foy, Justin Duerr Marc Duerr Kevin Riley Abby Miller,7.2,An urban mystery unfurls as one man pieces together the surreal meaning of hundreds of cryptic tiled messages that have been appearing in city streets across the U.S. and South America.
Le grand amour,1969,Comedy Romance,Pierre Étaix,  Annie Fratellini Nicole Calfan Alain Janey,7.5,After fifteen years of average married life and stifling in-laws a businessman undergoes a midlife crisis and pursues his attractive young secretary.
Tim's Vermeer,2013,Documentary History,Teller, Tim Jenison Penn Jillette Martin Mull Philip Steadman,7.8,Inventor Tim Jenison seeks to understand the painting techniques used by Dutch Master Johannes Vermeer.
Upside Down: The Creation Records Story,2010,Documentary Music,Danny O'Connor, Alan McGee Bobby Gillespie Noel Gallagher Chris Abbot,7.2,The definitive film about Creation Records one of the world's most successful and colorful independent labels.
The Shock Doctrine,2009,Documentary History,Mat Whitecross, Michael Winterbottom Janine Huard Ewen Cameron Naomi Klein Milton Friedman,7.6,An investigation of "disaster capitalism" based on Naomi Klein's proposition that neo-liberal capitalism feeds on natural disasters war and terror to establish its dominance.
Blinkende lygter,2000,Action Comedy Crime,Anders Thomas Jensen, Søren Pilmark Ulrich Thomsen Mads Mikkelsen Nikolaj Lie Kaas,7.5,A gang of 4 Danish criminals are ordered by Færingen to steal a bag from a safe. When they see DKK4000000 in the bag they keep it for themselves and head for Spain. They end up in a ruin of an old restaurant on Jutland and renovate it.
Thunder,1982,Short,Takashi Itô, Seiko Nakano,7.1,A woman's face disappearing behind and emerging from a pair of hands. Flashing lights. An empty building full of dark hallways.
La prima cosa bella,2010,Comedy Drama,Paolo Virzì, Valerio Mastandrea Micaela Ramazzotti Stefania Sandrelli Claudia Pandolfi,7.1,A misanthropic professor returns to his hometown to assist his dying mother.
Lost in America,1985,Comedy,Albert Brooks,  Julie Hagerty Sylvia Farrel Tina Kincaid,7,A husband and wife in their 30s decide to quit their jobs live as free spirits and cruise America in a Winnebago.
Ravenous,1999,Adventure Horror Western,Antonia Bird, Guy Pearce Robert Carlyle David Arquette Jeremy Davies,6.9,In a remote military outpost in the 19th century Captain John Boyd and his regiment embark on a rescue mission which takes a dark turn when they are ambushed by a sadistic cannibal.
Near Dark,1987,Horror,Kathryn Bigelow, Adrian Pasdar Jenny Wright Lance Henriksen Bill Paxton,6.9,A small-town farmer's son reluctantly joins a traveling group of vampires after he is bitten by a beautiful drifter.
Edge of Tomorrow,2014,Action Adventure Sci-Fi,Doug Liman, Tom Cruise Emily Blunt Bill Paxton Brendan Gleeson,7.9,A soldier fighting aliens gets to relive the same day over and over again the day restarting every time he dies.
They All Laughed,1981,Comedy Romance,Peter Bogdanovich, Audrey Hepburn Ben Gazzara Patti Hansen John Ritter,6.3,A madcap private-eye caper about a team of detectives who are following and are being followed by a group of beautiful women.
Light Is Calling,2004,Short,Bill Morrison, Eddie Phillips Lola Todd,7.1,A scene from The Bells (1926) is optically reprinted and edited to Michael Gordon¹s 7 minute composition. A meditation on the fleeting nature of life and love as seen through the roiling emulsion of an film.
Éloge de l'amour,2001,Drama,Jean-Luc Godard, Bruno Putzulu Cécile Camp Jean Davy Françoise Verny,6.2,An author works on a project on the subject of love and in the process crosses paths with a former love in his life.
The Barefoot Contessa,1954,Crime Drama Mystery,Joseph L. Mankiewicz, Humphrey Bogart Ava Gardner Edmond O'Brien Marius Goring,6.9,This is the life of a Hollywood movie star named Maria as told by writer/director Harry Dawes from being discovered in Madrid Spain until her funeral in Italy.
Little Man What Now?,1934,Drama Music Romance,Frank Borzage, Margaret Sullavan Douglass Montgomery Alan Hale Catherine Doucet,7.2,A young couple struggling against poverty must keep their marriage a secret in order for the husband to keep his job as his boss doesn't like to hire married men.
Saturday Evening Puss,1950,Animation Short Comedy,,,7.7,
Chopper,2000,Biography Crime Drama,Andrew Dominik, Eric Bana Simon Lyndon Vince Colosimo Renée Brack,7.1,Chopper tells the intense story of Mark "Chopper" Read a legendary criminal who wrote his autobiography while serving a jail sentence in prison. His book "From the Inside" upon which the film is based was a best-seller.
Gallipoli,1981,Adventure Drama History,Peter Weir, Mel Gibson Mark Lee Bill Kerr Harold Hopkins,7.4,Two Australian sprinters face the brutal realities of war when they are sent to fight in the Gallipoli campaign in Turkey during World War I.
Le dîner de cons,1998,Comedy,Francis Veber, Thierry Lhermitte Jacques Villeret Francis Huster Daniel Prévost,7.6,A few friends have a weekly fools' dinner where each brings a fool along. Pierre finds a champion fool for next dinner. Surprise.
Entre les murs,2008,Drama,Laurent Cantet, François Bégaudeau Agame Malembo-Emene Angélica Sancio Arthur Fogel,7.5,Teacher and novelist François Bégaudeau plays a version of himself as he negotiates a year with his racially mixed students from a tough Parisian neighborhood.
A Bronx Tale,1993,Crime Drama,Robert De Niro,  Chazz Palminteri Lillo Brancato Francis Capra,7.8,A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.
Altered States,1980,Horror Sci-Fi Thriller,Ken Russell, William Hurt Blair Brown Bob Balaban Charles Haid,6.9,A psycho-physiologist experiments with drugs and a sensory-deprivation tank and has visions he believes are genetic memories.
Submarine,2010,Comedy Drama Romance,Richard Ayoade, Craig Roberts Sally Hawkins Paddy Considine Noah Taylor,7.3,15-year-old Oliver Tate has two objectives: to lose his virginity before his next birthday and to extinguish the flame between his mother and an ex-lover who has resurfaced in her life.
Winnie the Pooh and Tigger Too,1974,Animation Short Comedy,See full summary John Lounsbery, Wolfgang Reitherman Sebastian Cabot Junius Matthews John Fiedler Barbara Luddy,7.8,Rabbit is tired of Tigger always bouncing him so he gets Pooh and Piglet together to come up with an idea to get the bounce out of Tigger. Rabbit suggests they take him into the middle of ... See full summary »
Standing in the Shadows of Motown,2002,Documentary Music,Paul Justman, Joe Hunter Jack Ashford Uriel Jones Richard 'Pistol' Allen,7.8,Documentary about the Funk Brothers a group of Detroit musicians who backed up dozens of Motown artists.
The Machinist,2004,Drama Thriller,Brad Anderson, Christian Bale Jennifer Jason Leigh Aitana Sánchez-Gijón John Sharian,7.7,An industrial worker who hasn't slept in a year begins to doubt his own sanity.
Midnight in Paris,2011,Comedy Fantasy Romance,Woody Allen, Owen Wilson Rachel McAdams Kathy Bates Kurt Fuller,7.7,While on a trip to Paris with his fiancée's family a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.
The Mercenaries,1968,Action Adventure Drama,Jack Cardiff, Rod Taylor Yvette Mimieux Peter Carsten Jim Brown,6.8,A band of mercenaries led by Captain Curry travel through war-torn Congo across deadly terrain battling rival armies to steal $50 million in uncut diamonds. But infighting sadistic rebels and a time lock jeopardize everything.
Mouse Trouble,1944,Animation Short Comedy,Joseph Barbera, William Hanna Sara Berner William Hanna Harry Lang,7.8,Tom's new book on "how to catch a mouse" doesn't prove too helpful against Jerry; actually Jerry seems to make better use of it than Tom.
Super Duper Alice Cooper,2014,Documentary Biography Music,See full summary Sam Dunn, Reg Harkema Scot McFadyen Alice Cooper Sheryl Cooper Jack Curtis Pamela Des Barres,7.3,Super Duper Alice Cooper is the twisted tale of a teenage Dr Jekyll whose rock n roll Mr Hyde almost kills him. It is the story of Vincent Furnier preacher's son who struck fear into the ... See full summary »
Die freudlose Gasse,1925,Drama,Greta Garbo Georg Wilhelm Pabst, Asta Nielsen Greta Garbo Ágnes Eszterházy Werner Krauss,7.1,In post-WWI Vienna Greta (Greta Garbo) her kid sister and retired dad try to make it through tough times.
L'odore della notte,1998,Crime Drama Thriller,Claudio Caligari, Valerio Mastandrea Marco Giallini Giorgio Tirabassi Alessia Fugardi,6.9,A former policeman turns full-time criminal and goes on a downward spiral of crime in the 1990s Rome.
Star Spangled to Death,2004,Documentary History,Ken Jacobs, Jack Smith Jerry Sims Gib Taylor Bill Carpenter,7.4,Star Spangled to Death is a 2004 experimental film directed by Ken Jacobs consisting almost entirely of archive footage depicting the history of the United States in film.
Schalcken the Painter,1979,Drama Fantasy Horror,Leslie Megahey, Jeremy Clyde Maurice Denham Cheryl Kennedy John Justin,7,Can Schalcken save his love Rose from the clutches of a ghastly suitor before it is too late?
The Great Happiness Space: Tale of an Osaka Love Thief,2006,Documentary,See full summary Jake Clennell,,7.8,Welcome to The Great Happiness Space: Rakkyo Café. The club's owner Issei (22) has a staff of twenty boys all under his training to become the top escorts of Osaka's underground love ... See full summary »
The Finishing Touch,1928,Comedy Short,Clyde Bruckman, Leo McCarey Stan Laurel Oliver Hardy Dorothy Coburn Edgar Kennedy,7.2,The boys are contracted to build a house in a day but they have many mishaps and run into trouble with the nearby hospital staff due to their excessive noise.
Ça commence aujourd'hui,1999,Drama,Bertrand Tavernier, Philippe Torreton Maria Pitarresi Nadia Kaci Véronique Ataly,7.4,A teacher from a small depressed town is trying to do something useful.
Parting Glances,1986,Drama Music Romance,See full summary Bill Sherwood, John Bolger Richard Ganoung Steve Buscemi Adam Nathan,7.2,As Michael and Robert a gay couple in New York prepare for Robert's departure for a two-year work assignment in Africa Michael must face Robert's true motives for leaving while dealing ... See full summary »
Cheyenne Autumn,1964,Drama History Western,John Ford, Richard Widmark Carroll Baker Karl Malden Sal Mineo,6.7,The Cheyenne tired of broken U.S. government promises head for their ancestral lands but a sympathetic cavalry officer is tasked to bring them back to their reservation.
Hapax Legomena I: Nostalgia,1971,Short,Hollis Frampton, Michael Snow,6.7,Frampton slowly burning his black and white photographs as he describes and tells the story behind them.
Big Star: Nothing Can Hurt Me,2012,Documentary Music,Drew DeNicola, Olivia Mori Billy Altman Jon Auer Lester Bangs Chris Bell,7,Big Star: Nothing Can Hurt Me is a feature-length documentary film about the dismal commercial failure subsequent massive critical acclaim and enduring legacy of pop music's greatest cult phenomenon Big Star.
Creature Comforts,1989,Animation Short Comedy,Nick Park, Julie Sedgewick,7.7,A humourous and thought provoking view of what animals in zoos might be thinking about their captivity and surroundings.
Martin Eden,2019,Drama Romance,Pietro Marcello, Luca Marinelli Jessica Cressy Vincenzo Nemolato Marco Leonardi,7,Martin Eden struggles to rise above his destitute proletarian circumstances through an intense and passionate pursuit of self-education hoping to achieve a place among the literary elite.
The Man with the Golden Arm,1955,Crime Drama Romance,Otto Preminger, Frank Sinatra Kim Novak Eleanor Parker Arnold Stang,7.3,A junkie must face his true self to kick his drug addiction.
Christine,2016,Biography Drama,Christine Chubbuck Antonio Campos, Rebecca Hall Michael C. Hall Tracy Letts Maria Dizzia,6.9,The story of Christine Chubbuck a 1970s TV reporter struggling with depression and professional frustrations as she tries to advance her career.
Presto,2008,Animation Short Comedy,Doug Sweetland,,8.3,A stage magician's rabbit gets into a magical onstage brawl against his neglectful guardian with two magic hats.
The Pirate,1948,Adventure Comedy Musical,Vincente Minnelli, Judy Garland Gene Kelly Walter Slezak Gladys Cooper,6.9,A girl is engaged to the local rich man but meanwhile she has dreams about the legendary pirate Macoco. A traveling singer falls in love with her and to impress her he poses as the pirate.
The White Stripes Under Great White Northern Lights,2009,Documentary Music,See full summary Emmett Malloy, Alex Debogorski Maria Durham Jack White Meg White,8,In 2007 the legendary American duo White Stripes toured Canada. Besides playing the usual venues they challenged themselves and played in buses cafés and for Indian tribal elders. Music ... See full summary »
